message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total
TwoHashIndexed: 10000 & 0.25,53506,0.25,100,10000,10000,TwoHashIndexed,0.08777996900118887,0.5,16.00390625,0,0.017816543579101562,52.5,205.98828125,1.327880859375,8.339424133300781
TwoHash: 10000 & 0.25,49936,0.25,100,10000,10000,TwoHash,0.10677951899915934,4.75,15.50390625,0,0.017816543579101562,59.421875,208.11328125,1.5539627075195312,9.506790161132812
TwoHashIndexedCount: 10000 & 0.25,38433,0.25,100,10000,10000,TwoHashIndexedCount,0.09603461800143123,0.75,15.75390625,0,0.017816543579101562,52.875,217.61328125,1.5124588012695312,8.491676330566406
TwoHashIndexed: 10000 & 0.5,231680,0.5,100,10000,10000,TwoHashIndexed,0.19016912800073624,2.703125,17.70703125,0,0.017816543579101562,40.87109375,212.234375,4.362983703613281,12.497261047363281
TwoHash: 10000 & 0.5,224643,0.5,100,10000,10000,TwoHash,0.2499550259988755,2.5,17.50390625,0,0.017816543579101562,53.37890625,217.6171875,3.705230712890625,11.797897338867188
TwoHashIndexedCount: 10000 & 0.5,217272,0.5,100,10000,10000,TwoHashIndexedCount,0.23072682799957692,2.453125,17.70703125,0,0.017816543579101562,41.50390625,220.1171875,4.536048889160156,12.531944274902344
TwoHashIndexed: 10000 & 0.75,549732,0.75,100,10000,10000,TwoHashIndexed,0.3008120470009744,10.703125,26.70703125,0,0.017816543579101562,110.890625,295.125,2.7977142333984375,11.618865966796875
TwoHashIndexedCount: 10000 & 0.75,539684,0.75,100,10000,10000,TwoHashIndexedCount,0.3189528069999069,10.953125,26.45703125,0,0.017816543579101562,84.3125,273.046875,3.8811416625976562,12.683647155761719
TwoHash: 10000 & 0.75,541988,0.75,100,10000,10000,TwoHash,0.4374482230003923,11.75,26.75390625,0,0.017816543579101562,90.7109375,275.57421875,2.2591705322265625,11.019264221191406
TwoHashIndexed: 10000 & 0.9,817926,0.9,100,10000,10000,TwoHashIndexed,0.3621866089999676,12.09375,27.84765625,0,0.017816543579101562,57.87109375,269.23828125,5.5303192138671875,14.800834655761719
TwoHashIndexedCount: 10000 & 0.9,813502,0.9,100,10000,10000,TwoHashIndexedCount,0.42189367100037634,12.59375,28.09765625,0,0.017816543579101562,36.9609375,258.328125,4.15191650390625,13.462005615234375
TwoHash: 10000 & 0.9,814048,0.9,100,10000,10000,TwoHash,0.4500343689993024,11.5,27.25390625,0,0.017816543579101562,50.5859375,259.328125,3.739654541015625,13.022933959960938
TwoHash: 25000 & 0.25,311647,0.25,100,25000,25000,TwoHash,0.9970617030002177,11,27.71484375,0,0.017816543579101562,71.5390625,341.43359375,0.34210205078125,11.788963317871094
TwoHashIndexedCount: 25000 & 0.25,253120,0.25,100,25000,25000,TwoHashIndexedCount,1.0196304790005088,10.953125,27.66796875,0,0.017816543579101562,32.61328125,322.61328125,5.677406311035156,17.192535400390625
TwoHashIndexed: 25000 & 0.25,324884,0.25,100,25000,25000,TwoHashIndexed,1.0465188439991324,10.703125,27.66796875,0,0.017816543579101562,12.98046875,304.60546875,6.9855804443359375,18.499038696289062
