message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total,elementsRatio
TwoHash: 100000 & 0.9,325151,0.9,25000,100000,100000,TwoHash,15.008781662996858,25.359375,92.67578125,0,0.017816543579101562,268.203125,1046.98828125,27.46027374267578,68.25411987304688,0.25
TwoHash: 100000 & 0.9,896911,0.9,9000,100000,100000,TwoHash,16.096636927001178,25.09375,80.86328125,0,0.017816543579101562,428.51171875,1035.80859375,12.607574462890625,47.67395782470703,0.09
TwoHashIndexedCount: 100000 & 0.9,162923,0.9,50000,100000,100000,TwoHashIndexedCount,17.598706062998623,28.046875,100.32421875,0,0.017816543579101562,240.5703125,1056.78515625,36.297607421875,74.89616394042969,0.5
TwoHash: 100000 & 0.9,162923,0.9,50000,100000,100000,TwoHash,19.919586573001,33.40625,102.203125,0,0.017816543579101562,291.0234375,1065.55859375,21.61559295654297,71.33491516113281,0.5
TwoHashIndexedCount: 100000 & 0.9,8030254,0.9,1000,100000,100000,TwoHashIndexedCount,20.178953025002034,18.8671875,76.14453125,0,0.017816543579101562,391.6796875,974.9921875,14.064826965332031,49.112274169921875,0.01
TwoHash: 100000 & 0.9,8030254,0.9,1000,100000,100000,TwoHash,20.75957130299881,18,73.51953125,0,0.017816543579101562,272.828125,1045.11328125,14.668251037597656,52.53881072998047,0.01
TwoHashIndexedCount: 100000 & 0.9,896911,0.9,9000,100000,100000,TwoHashIndexedCount,21.238880444999783,20.2578125,83.35546875,0,0.017816543579101562,348.65625,1051.30078125,33.01292419433594,63.96405792236328,0.09
TwoHashIndexedCount: 100000 & 0.9,325151,0.9,25000,100000,100000,TwoHashIndexedCount,21.17076239299774,27.328125,95.51171875,0,0.017816543579101562,219.8125,1014.72265625,31.81219482421875,69.0787582397461,0.25
TwoHash: 100000 & 0.9,108891,0.9,75000,100000,100000,TwoHash,21.192887478001417,38.9140625,108.10546875,0,0.017816543579101562,85.14453125,901.484375,35.83282470703125,87.11061096191406,0.75
TwoHashIndexedCount: 100000 & 0.9,108891,0.9,75000,100000,100000,TwoHashIndexedCount,21.465135105997323,43.5625,112.75390625,0,0.017816543579101562,68.67578125,875.140625,34.47993469238281,85.83211517333984,0.75
TwoHashIndexedCount: 100000 & 0.9,8030254,0.9,1000,100000,100000,TwoHashIndexedCount,22.227874455999583,17.8671875,76.14453125,0,0.017816543579101562,194.40234375,972.9375,12.678207397460938,50.81549072265625,0.01
TwoHash: 100000 & 0.9,8030254,0.9,1000,100000,100000,TwoHash,23.73976855899766,17.75,73.51953125,0,0.017816543579101562,440.01171875,1016.484375,13.8907470703125,51.946685791015625,0.01
TwoHash: 100000 & 0.9,325151,0.9,25000,100000,100000,TwoHash,16.6430215959996,25.90625,92.79296875,0,0.017816543579101562,116.3359375,1150.14453125,29.306800842285156,73.18832397460938,0.25
TwoHashIndexedCount: 100000 & 0.9,325151,0.9,25000,100000,100000,TwoHashIndexedCount,19.016681348998098,22.5390625,87.78515625,0,0.017816543579101562,156.2890625,1182.44921875,11.800193786621094,55.493896484375,0.25
TwoHash: 100000 & 0.9,162923,0.9,50000,100000,100000,TwoHash,18.68703784099966,35.90625,102.65234375,0,0.017816543579101562,197.2890625,1225.47265625,21.148361206054688,69.43640899658203,0.5
TwoHash: 100000 & 0.9,108891,0.9,75000,100000,100000,TwoHash,20.670781410999595,32.37890625,99.96484375,0,0.017816543579101562,238.5703125,1271.73046875,15.845626831054688,66.00355529785156,0.75
TwoHashIndexedCount: 100000 & 0.9,896911,0.9,9000,100000,100000,TwoHashIndexedCount,20.379272399999202,19.7578125,82.85546875,0,0.017816543579101562,438.34765625,1264.04296875,33.10960388183594,64.01426696777344,0.09
TwoHash: 100000 & 0.9,896911,0.9,9000,100000,100000,TwoHash,20.97524513499811,25.34375,80.77734375,0,0.017816543579101562,437.2734375,1225.83984375,11.509834289550781,48.0972900390625,0.09
TwoHashIndexedCount: 100000 & 0.9,162923,0.9,50000,100000,100000,TwoHashIndexedCount,23.22506867799908,36.546875,103.98828125,0,0.017816543579101562,325.97265625,1311.32421875,21.90502166748047,71.61725616455078,0.5
TwoHashIndexedCount: 100000 & 0.9,108891,0.9,75000,100000,100000,TwoHashIndexedCount,23.152648795999585,43.09375,113.81640625,0,0.017816543579101562,256.30859375,1307.609375,44.651832580566406,88.85305786132812,0.75
