message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total,elementsRatio
TwoHashIndexedCount: 200000 & 0.1,18,0.1,100000,200000,200000,TwoHashIndexedCount,271.7778674619794,-30,56.62890625,0,0.017816543579101562,-168.5,899.9453125,-7.161399841308594,52.97846221923828,0.5
TwoHashIndexedCount: 200000 & 0.5,192,0.5,100000,200000,200000,TwoHashIndexedCount,273.1853347139955,-28,59.69140625,0,0.017816543579101562,-87.04296875,938.72265625,-8.918754577636719,54.65081024169922,0.5
TwoHashIndexedCount: 200000 & 0.5,12335,0.5,2000,200000,200000,TwoHashIndexedCount,274.8139680470228,-23.5,50.21875,0,0.017816543579101562,111.08203125,972.9765625,-5.287055969238281,45.909019470214844,0.01
TwoObjectIndexedCount: 200000 & 0.5,12335,0.5,2000,200000,200000,TwoObjectIndexedCount,280.6108318260014,-25.75,50.15234375,0,0.017816543579101562,131.3125,1016.08203125,-3.5587997436523438,45.662322998046875,0.01
TwoObjectIndexedCount: 200000 & 0.1,170,0.1,2000,200000,200000,TwoObjectIndexedCount,285.1465227769911,-25,47.7421875,0,0.017816543579101562,148.03515625,1063.58203125,-6.2974090576171875,44.467010498046875,0.01
TwoHashIndexedCount: 200000 & 0.1,170,0.1,2000,200000,200000,TwoHashIndexedCount,286.8725881780088,-24.5,47.296875,0,0.017816543579101562,233.79296875,1134.71484375,-6.8237152099609375,44.38141632080078,0.01
TwoObjectIndexedCount: 200000 & 0.5,192,0.5,100000,200000,200000,TwoObjectIndexedCount,290.4676607390046,-22,65.44140625,0,0.017816543579101562,179.86328125,1201.50390625,-2.3114776611328125,61.01006317138672,0.5
TwoObjectIndexedCount: 200000 & 0.1,18,0.1,100000,200000,200000,TwoObjectIndexedCount,298.06482046300175,-25.75,60.15234375,0,0.017816543579101562,144.3671875,1164.5078125,0.9955062866210938,56.473472595214844,0.5
TwoHashIndexedCount: 200000 & 0.9,323309,0.9,100000,200000,200000,TwoHashIndexedCount,298.7357441959977,41.8359375,153.96484375,0,0.017816543579101562,-5.15234375,1112.72265625,22.688201904296875,115.82117462158203,0.5
TwoObjectIndexedCount: 200000 & 0.9,323309,0.9,100000,200000,200000,TwoObjectIndexedCount,302.36023788899183,33.93359375,150.00390625,0,0.017816543579101562,-130.75,976.5,29.823562622070312,112.52159118652344,0.5
TwoObjectIndexedCount: 200000 & 0.9,16112950,0.9,2000,200000,200000,TwoObjectIndexedCount,308.37010741502047,-17.23046875,73.12109375,0,0.017816543579101562,-170.4453125,842.5703125,-5.215980529785156,64.9007797241211,0.01
TwoHashIndexedCount: 200000 & 0.9,16112950,0.9,2000,200000,200000,TwoHashIndexedCount,312.869279073,-6.9453125,83.84765625,0,0.017816543579101562,-201.54296875,775.2578125,4.50457763671875,64.51996612548828,0.01
TwoHashIndexedCount: 200000 & 0.1,10,0.1,198000,200000,200000,TwoHashIndexedCount,98.70478339201212,-30,57.66796875,0,0.017816543579101562,-306.91015625,663.91015625,-10.1041259765625,54.690391540527344,0.99
TwoObjectIndexedCount: 200000 & 0.1,10,0.1,198000,200000,200000,TwoObjectIndexedCount,101.2327931329906,-23.75,63.91796875,0,0.017816543579101562,-324.16015625,613.29296875,-4.952178955078125,60.60222625732422,0.99
TwoObjectIndexedCount: 200000 & 0.5,100,0.5,198000,200000,200000,TwoObjectIndexedCount,100.30046056199073,-20.75,67.515625,0,0.017816543579101562,-452.80078125,559.296875,6.867317199707031,61.736572265625,0.99
TwoHashIndexedCount: 200000 & 0.5,100,0.5,198000,200000,200000,TwoHashIndexedCount,96.18349022099376,-28,60.6015625,0,0.017816543579101562,-564.38671875,492.36328125,0.01087188720703125,54.91929626464844,0.99
TwoObjectIndexedCount: 200000 & 0.9,163176,0.9,198000,200000,200000,TwoObjectIndexedCount,94.46462786999345,50.625,166.03515625,0,0.017816543579101562,-704.84765625,428.4921875,44.529327392578125,128.1829605102539,0.99
TwoHashIndexedCount: 200000 & 0.9,163176,0.9,198000,200000,200000,TwoHashIndexedCount,96.63327863800525,85.578125,201.80078125,0,0.017816543579101562,-902.84765625,301.74609375,84.71502685546875,171.50308990478516,0.99
