message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total
TwoHash: 1000 & 0.25,577,0.25,100,1000,1000,TwoHash,0.011819990001618862,0.5,10.00390625,-0.012318611145019531,0.017816543579101562,6.75,127.640625,-0.5886154174804688,5.692924499511719
TwoHashIndexedCount: 1000 & 0.25,432,0.25,100,1000,1000,TwoHashIndexedCount,0.014178209997713565,0,9.50390625,0,0.030135154724121094,17,154.015625,0.730133056640625,6.9815673828125
TwoHashIndexed: 1000 & 0.25,586,0.25,100,1000,1000,TwoHashIndexed,0.013625377006828785,0,9.50390625,0,0.030135154724121094,27.046875,166.4375,0.804779052734375,7.1432647705078125
TwoHash: 10000 & 0.25,49936,0.25,100,10000,10000,TwoHash,0.10263247399777174,0.75,16.00390625,0,0.017816543579101562,40.796875,175.1875,2.721771240234375,9.642044067382812
TwoHashIndexed: 10000 & 0.25,53506,0.25,100,10000,10000,TwoHashIndexed,0.087578269995749,5.25,15.75390625,0,0.017816543579101562,22.421875,176.9375,0.33705902099609375,8.401466369628906
TwoHashIndexedCount: 10000 & 0.25,38433,0.25,100,10000,10000,TwoHashIndexedCount,0.09838040199875832,0.75,15.75390625,0,0.017816543579101562,7.83203125,173.64453125,1.6747283935546875,8.554634094238281
TwoHashIndexedCount: 25000 & 0.25,253120,0.25,100,25000,25000,TwoHashIndexedCount,1.1058693829998374,10.953125,27.41796875,0,0.017816543579101562,134.3828125,306.1953125,5.7289581298828125,17.191299438476562
TwoHashIndexed: 25000 & 0.25,324884,0.25,100,25000,25000,TwoHashIndexed,1.1689860550016165,10.453125,27.41796875,0,0.017816543579101562,121.453125,285.015625,6.974876403808594,18.482101440429688
TwoHash: 25000 & 0.25,311647,0.25,100,25000,25000,TwoHash,1.4898639390021562,11.25,27.71484375,0,0.017816543579101562,160.49609375,326.30859375,0.2529754638671875,11.675498962402344
TwoHashIndexedCount: 50000 & 0.25,1153639,0.25,100,50000,50000,TwoHashIndexedCount,5.193113628000021,19.21875,47.63671875,0,0.017816543579101562,261.484375,505.9609375,15.576568603515625,29.343399047851562
TwoHash: 50000 & 0.25,1302577,0.25,100,50000,50000,TwoHash,5.836795213997364,19.375,47.54296875,0,0.017816543579101562,317.796875,514.08203125,5.6789703369140625,19.498146057128906
TwoHashIndexed: 50000 & 0.25,1332428,0.25,100,50000,50000,TwoHashIndexed,6.058436391994357,20.46875,48.38671875,0,0.017816543579101562,277.5859375,521.4375,9.142379760742188,22.973709106445312
TwoHashIndexed: 75000 & 0.25,2916531,0.25,100,75000,75000,TwoHashIndexed,11.134446882002056,4.34375,53.27734375,0,0.017816543579101562,292.12890625,564.62890625,4.717926025390625,24.531349182128906
TwoHashIndexedCount: 75000 & 0.25,2622188,0.25,100,75000,75000,TwoHashIndexedCount,12.57744167200476,2.84375,52.27734375,0,0.017816543579101562,251.57421875,525.64453125,13.523002624511719,32.08580780029297
TwoHash: 75000 & 0.25,2869930,0.25,100,75000,75000,TwoHash,12.905594332002103,3.5,52.43359375,0,0.017816543579101562,215.27734375,485.49609375,2.6655044555664062,22.996353149414062
TwoHashIndexedCount: 1000 & 0.5,2045,0.5,100,1000,1000,TwoHashIndexedCount,0.024491355001926424,0.5,10.00390625,-0.012318611145019531,0.017816543579101562,1.125,444.55078125,0.15380859375,6.509490966796875
TwoHashIndexed: 100000 & 0.25,5132000,0.25,100,100000,100000,TwoHashIndexed,19.02010931299627,7.84375,58.9453125,0,0.017816543579101562,137.87890625,463.5625,10.57122802734375,40.033111572265625
TwoHashIndexedCount: 100000 & 0.25,4689431,0.25,100,100000,100000,TwoHashIndexedCount,18.872506481997668,6.59375,57.4453125,0,0.017816543579101562,76.78125,420.6328125,-0.663330078125,28.780838012695312
TwoHash: 100000 & 0.25,5064887,0.25,100,100000,100000,TwoHash,19.416650751002134,7,57.3515625,0,0.017816543579101562,51.21484375,371.02734375,1.6974411010742188,30.822654724121094
TwoHashIndexedCount: 10000 & 0.5,217272,0.5,100,10000,10000,TwoHashIndexedCount,0.18421453300118446,2.203125,17.70703125,0,0.017816543579101562,18.75,343.7109375,1.3580703735351562,9.400650024414062
TwoHash: 150000 & 0.25,10647364,0.25,100,150000,150000,TwoHash,37.08746919099987,13.5,65.56640625,0,0.017816543579101562,-133.1796875,379.90234375,5.775581359863281,38.18408966064453
TwoHashIndexed: 150000 & 0.25,10759623,0.25,100,150000,150000,TwoHashIndexed,36.75885395400226,17.171875,68.73828125,0,0.017816543579101562,-190.9921875,330.3203125,6.8692169189453125,39.406341552734375
TwoHashIndexedCount: 150000 & 0.25,9987276,0.25,100,150000,150000,TwoHashIndexedCount,36.93144147599489,14.421875,65.98828125,0,0.017816543579101562,-219.515625,307.36328125,1.4993743896484375,34.018836975097656
TwoHashIndexedCount: 25000 & 0.5,1364237,0.5,100,25000,25000,TwoHashIndexedCount,1.2335771950036287,10.6875,28.90234375,0,0.017816543579101562,18.6640625,285.73828125,6.022979736328125,18.185897827148438
TwoHash: 50000 & 0.5,5630198,0.5,100,50000,50000,TwoHash,5.324789908997714,24.3203125,52.29296875,0,0.017816543579101562,45.83984375,339.7109375,6.301933288574219,24.274696350097656
TwoHashIndexed: 50000 & 0.5,5683591,0.5,100,50000,50000,TwoHashIndexed,4.924993050999939,26.9296875,54.90234375,0,0.017816543579101562,44.48046875,313.71484375,13.353652954101562,31.32257843017578
TwoHashIndexedCount: 50000 & 0.5,5577588,0.5,100,50000,50000,TwoHashIndexedCount,5.0788365040048955,26.1796875,54.15234375,0,0.017816543579101562,27.89453125,316.23828125,3.0102615356445312,21.099197387695312
TwoHashIndexed: 75000 & 0.5,12849349,0.5,100,75000,75000,TwoHashIndexed,11.073483638003468,13.46484375,62.55859375,0,0.017816543579101562,47.3203125,339.01171875,15.340995788574219,39.402740478515625
TwoHash: 75000 & 0.5,12763642,0.5,100,75000,75000,TwoHash,11.606386690996587,9.35546875,57.94921875,0,0.017816543579101562,52.51171875,318.50390625,3.2588577270507812,27.20806121826172
TwoHashIndexedCount: 75000 & 0.5,12676190,0.5,100,75000,75000,TwoHashIndexedCount,11.750205134995282,9.96484375,59.05859375,0,0.017816543579101562,14.9296875,310.7578125,15.592758178710938,39.67994689941406
TwoHashIndexed: 100000 & 0.5,22691070,0.5,100,100000,100000,TwoHashIndexed,21.00324834600091,18.109375,69.55078125,0,0.017816543579101562,60.25,358.08984375,13.695098876953125,45.91913604736328
TwoHash: 100000 & 0.5,22569926,0.5,100,100000,100000,TwoHash,21.585246477000414,13,64.19140625,0,0.017816543579101562,5.953125,318.63671875,1.1017913818359375,33.38665771484375
TwoHashIndexedCount: 100000 & 0.5,22460675,0.5,100,100000,100000,TwoHashIndexedCount,20.93511522399634,13.109375,64.30078125,0,0.017816543579101562,61.8984375,352.58203125,13.22149658203125,45.60590362548828
TwoHash: 150000 & 0.5,49393822,0.5,100,150000,150000,TwoHash,44.44961201299727,10,74.63671875,0,0.017816543579101562,70.3359375,366.875,12.543624877929688,51.98497772216797
TwoHashIndexedCount: 150000 & 0.5,49228410,0.5,100,150000,150000,TwoHashIndexedCount,44.025137382000686,9.609375,74.24609375,0,0.017816543579101562,-71.6875,280.73046875,16.51110076904297,55.971954345703125
TwoHashIndexed: 150000 & 0.5,49591484,0.5,100,150000,150000,TwoHashIndexed,46.439125122003254,16.359375,80.74609375,0,0.017816543579101562,-135.31640625,217.140625,19.58966827392578,59.05305480957031
TwoHashIndexedCount: 1000 & 0.75,5362,0.75,100,1000,1000,TwoHashIndexedCount,0.014933172002434731,0.75,10.25390625,-0.012318611145019531,0.017816543579101562,2.375,147.31640625,-0.4510345458984375,5.9350128173828125
