message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total,elementsRatio
TwoHash: 200000 & 0.1,18,0.1,100000,200000,200000,TwoHash,286.4570666770041,-30,56.62890625,0,0.017816543579101562,-142.44921875,922.96484375,-6.874107360839844,52.70159149169922,0.5
TwoHash: 200000 & 0.1,170,0.1,2000,200000,200000,TwoHash,287.1749976090193,-25,47.046875,0,0.017816543579101562,-20.515625,869.6875,-7.4441070556640625,43.927818298339844,0.01
TwoHashObject: 200000 & 0.5,12335,0.5,2000,200000,200000,TwoHashObject,289.32677748697995,-42.6953125,30.95703125,0,0.017816543579101562,193.8828125,972.95703125,-31.665863037109375,16.370819091796875,0.01
TwoHashObject: 200000 & 0.1,18,0.1,100000,200000,200000,TwoHashObject,293.3365224519968,-30.75,55.62890625,0,0.017816543579101562,-23.81640625,1040.47265625,-30.190834045410156,29.48151397705078,0.5
TwoHash: 200000 & 0.5,12335,0.5,2000,200000,200000,TwoHash,296.1564814260006,-24,51.42578125,0,0.017816543579101562,224.4609375,1091.5390625,-4.7527008056640625,45.26726531982422,0.01
TwoHashObject: 200000 & 0.5,192,0.5,100000,200000,200000,TwoHashObject,296.9985236050189,-21.28125,66.66015625,0,0.017816543579101562,139.9296875,1149.77734375,-15.261825561523438,48.00452423095703,0.5
TwoHashObject: 200000 & 0.1,170,0.1,2000,200000,200000,TwoHashObject,299.3364849909842,-9.75,62.9921875,0,0.017816543579101562,407.8515625,1230.3203125,3.8426742553710938,54.56719207763672,0.01
TwoHash: 200000 & 0.5,192,0.5,100000,200000,200000,TwoHash,300.18575780400636,-28,59.3515625,0,0.017816543579101562,105.1328125,1169.296875,-12.816970825195312,54.10369110107422,0.5
TwoHashObject: 200000 & 0.9,323309,0.9,100000,200000,200000,TwoHashObject,302.91917711099984,40.0859375,146.54296875,0,0.017816543579101562,21.78125,1134.80859375,19.933937072753906,105.5013427734375,0.5
TwoHash: 200000 & 0.9,323309,0.9,100000,200000,200000,TwoHash,306.8130399020016,32.3125,147.03515625,0,0.017816543579101562,-116.20703125,1004.4765625,31.449851989746094,112.15889739990234,0.5
TwoHash: 200000 & 0.9,16112950,0.9,2000,200000,200000,TwoHash,313.24589848300815,-10.41796875,81.95703125,0,0.017816543579101562,-175.171875,860.8125,5.2048797607421875,64.6369857788086,0.01
TwoHashObject: 200000 & 0.9,16112950,0.9,2000,200000,200000,TwoHashObject,320.1490094230175,-0.75,89.69140625,0,0.017816543579101562,-244.87109375,721.7421875,3.623321533203125,72.62094116210938,0.01
TwoHash: 200000 & 0.1,10,0.1,198000,200000,200000,TwoHash,96.56928476500511,-30,58.16796875,0,0.017816543579101562,-218.5859375,697.98046875,-11.3365478515625,53.91942596435547,0.99
TwoHash: 200000 & 0.5,100,0.5,198000,200000,200000,TwoHash,97.84535884198546,-24,64.6015625,0,0.017816543579101562,-409.359375,626.09765625,2.6784820556640625,57.61488342285156,0.99
TwoHashObject: 200000 & 0.1,10,0.1,198000,200000,200000,TwoHashObject,103.91810210901498,5.1640625,93.02734375,0,0.017816543579101562,-367.85546875,599.7265625,-13.168327331542969,49.525848388671875,0.99
TwoHashObject: 200000 & 0.5,100,0.5,198000,200000,200000,TwoHashObject,98.6880303349793,3.00390625,90.76953125,0,0.017816543579101562,-541.09765625,536.69140625,-0.31035614013671875,54.60016632080078,0.99
TwoHashObject: 200000 & 0.9,163176,0.9,198000,200000,200000,TwoHashObject,94.98377150401473,42.71875,160.03515625,0,0.017816543579101562,-733.046875,494.5234375,49.91046142578125,134.8960189819336,0.99
TwoHash: 200000 & 0.9,163176,0.9,198000,200000,200000,TwoHash,99.32371495300531,71.6875,188.75390625,0,0.017816543579101562,-804.90625,311.37890625,76.50782775878906,161.4323959350586,0.99
