message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total
TwoHash: 1000 & 0.25,577,0.25,100,1000,1000,TwoHash,0.008749357998371125,0.75,10.25390625,-0.016226768493652344,0.017816543579101562,4.625,124.37109375,-0.5856399536132812,5.740409851074219
TwoHashIndexedCount: 1000 & 0.5,2390,0.5,100,1000,1000,TwoHashIndexedCount,0.020709525998681783,0.25,9.75390625,-0.016226768493652344,0.017816543579101562,12.125,134.49609375,0.30999755859375,6.6690521240234375
TwoHashIndexedCount: 1000 & 0.25,577,0.25,100,1000,1000,TwoHashIndexedCount,0.012392307002097367,0,9.50390625,0,0.034043312072753906,8.9375,140.80859375,0.7944183349609375,7.0581512451171875
TwoHash: 1000 & 0.5,2390,0.5,100,1000,1000,TwoHash,0.019390997000038625,0.25,9.75390625,-0.016226768493652344,0.017816543579101562,-0.0625,140.80859375,0.410797119140625,6.81793212890625
TwoHash: 1000 & 0.75,5582,0.75,100,1000,1000,TwoHash,0.02082685900107026,0.5,10.00390625,-0.016226768493652344,0.017816543579101562,6.5625,141.05859375,-0.40595245361328125,5.951210021972656
TwoHashIndexedCount: 1000 & 0.75,5582,0.75,100,1000,1000,TwoHashIndexedCount,0.02489698899909854,0.25,9.75390625,-0.016226768493652344,0.017816543579101562,10.9375,140.93359375,-0.5323028564453125,5.76177978515625
TwoHashIndexedCount: 1000 & 0.9,7929,0.9,100,1000,1000,TwoHashIndexedCount,0.020080145999789238,0.5,10.00390625,-0.016226768493652344,0.017816543579101562,0.6875,140.80859375,0.06261444091796875,6.482826232910156
TwoHash: 1000 & 0.9,7929,0.9,100,1000,1000,TwoHash,0.03015599299967289,0.75,10.25390625,-0.016226768493652344,0.017816543579101562,-15.2734375,125.41015625,0.38880157470703125,6.769584655761719
TwoHash: 10000 & 0.25,49936,0.25,100,10000,10000,TwoHash,0.09111213300004602,1.25,16.00390625,0,0.017816543579101562,9.3671875,150.05078125,2.7134552001953125,9.646270751953125
TwoHashIndexedCount: 10000 & 0.25,49936,0.25,100,10000,10000,TwoHashIndexedCount,0.06640970700234175,5,15.75390625,0,0.017816543579101562,27.734375,149.16015625,3.0878524780273438,11.067039489746094
TwoHash: 10000 & 0.5,224643,0.5,100,10000,10000,TwoHash,0.22261271100118757,1.5,17.25390625,0,0.017816543579101562,95.06640625,256.53515625,4.2273712158203125,12.272254943847656
TwoHashIndexedCount: 10000 & 0.5,224643,0.5,100,10000,10000,TwoHashIndexedCount,0.2425619839988649,2.453125,17.70703125,0,0.017816543579101562,98.73046875,263.82421875,2.600738525390625,10.787040710449219
TwoHashIndexedCount: 10000 & 0.75,541988,0.75,100,10000,10000,TwoHashIndexedCount,0.3792956389971077,10.453125,26.20703125,0,0.017816543579101562,112.359375,264.578125,4.080772399902344,12.960861206054688
TwoHash: 10000 & 0.75,541988,0.75,100,10000,10000,TwoHash,0.3992890879996121,11.25,26.75390625,0,0.017816543579101562,118.609375,272.203125,2.05059814453125,10.919212341308594
TwoHashIndexedCount: 10000 & 0.9,814048,0.9,100,10000,10000,TwoHashIndexedCount,0.4727699030004442,12.59375,28.09765625,0,0.017816543579101562,76.4375,239.53125,3.8308486938476562,13.158897399902344
TwoHash: 10000 & 0.9,814048,0.9,100,10000,10000,TwoHash,0.5106639590002596,11.75,27.00390625,0,0.017816543579101562,68.17578125,223.51953125,7.317169189453125,16.58995819091797
TwoHash: 25000 & 0.25,311647,0.25,100,25000,25000,TwoHash,1.0048338390029967,11.25,27.46484375,0,0.017816543579101562,144.37890625,321.47265625,0.1780242919921875,11.597518920898438
TwoHashIndexedCount: 25000 & 0.25,311647,0.25,100,25000,25000,TwoHashIndexedCount,1.0095169650018214,10.953125,27.66796875,0,0.017816543579101562,94.6875,313.84765625,3.348724365234375,14.80535888671875
TwoHash: 25000 & 0.5,1388003,0.5,100,25000,25000,TwoHash,1.4496076700016856,10.515625,28.48046875,0,0.017816543579101562,94.359375,336.14453125,2.2204818725585938,14.205078125
TwoHashIndexedCount: 25000 & 0.5,1388003,0.5,100,25000,25000,TwoHashIndexedCount,1.3593423629999162,11.1875,29.15234375,0,0.017816543579101562,63.57421875,324.02734375,3.0986557006835938,15.135696411132812
