message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total
TwoHash: 100000 & 0.9,270146,0.9,30000,100000,100000,TwoHash,26.515425466001034,28.65625,96.04296875,0,0.017816543579101562,301.46484375,901.9375,20.50342559814453,66.38459777832031
TwoHash: 100000 & 0.9,116143,0.9,70000,100000,100000,TwoHash,27.988279392000287,37.9140625,107.10546875,0,0.017816543579101562,243.6875,887.1640625,35.49658966064453,86.51371002197266
TwoHashIndexedCount: 100000 & 0.9,809401,0.9,10000,100000,100000,TwoHashIndexedCount,29.306489723999054,26.0546875,84.9609375,0,0.017816543579101562,287.265625,873.18359375,25.12751007080078,63.869728088378906
TwoHash: 100000 & 0.9,90277,0.9,90000,100000,100000,TwoHash,29.427658339999617,28.703125,103.66015625,0,0.017816543579101562,158.16015625,805.76171875,31.624916076660156,74.45562744140625
TwoHashIndexedCount: 100000 & 0.9,162923,0.9,50000,100000,100000,TwoHashIndexedCount,29.67562957599759,33.4375,102.64453125,0,0.017816543579101562,117.265625,739.3125,28.53746795654297,77.33692932128906
TwoHashIndexedCount: 100000 & 0.9,116143,0.9,70000,100000,100000,TwoHashIndexedCount,29.97973322499916,25.3828125,99.42578125,0,0.017816543579101562,98.7421875,732.0390625,32.308631896972656,74.20336151123047
TwoHashIndexedCount: 100000 & 0.9,270146,0.9,30000,100000,100000,TwoHashIndexedCount,30.246415103998036,35.9375,96.21484375,0,0.017816543579101562,126.20703125,758.62890625,30.6322021484375,71.1732177734375
TwoHash: 100000 & 0.9,809401,0.9,10000,100000,100000,TwoHash,30.433839655000718,24.59375,82.37109375,0,0.017816543579101562,163.56640625,711.546875,22.573997497558594,61.35181427001953
TwoHash: 100000 & 0.9,162923,0.9,50000,100000,100000,TwoHash,32.09398361999914,32.40625,101.703125,0,0.017816543579101562,334.65625,982.3828125,24.74378204345703,74.3076171875
TwoHashIndexedCount: 100000 & 0.9,90277,0.9,90000,100000,100000,TwoHashIndexedCount,32.912818624999375,37.890625,105.93359375,0,0.017816543579101562,139.01953125,1017.70703125,40.54719543457031,85.95826721191406
TwoHash: 200000 & 0.9,540450,0.9,60000,200000,200000,TwoHash,176.5120009390004,25.33984375,135.62890625,0,0.017816543579101562,401.1796875,1100.92578125,18.324241638183594,105.64064025878906
TwoHash: 200000 & 0.9,230745,0.9,140000,200000,200000,TwoHash,194.25220992499962,50.9375,167.00390625,0,0.017816543579101562,179.41796875,1159.67578125,57.41747283935547,139.82608032226562
TwoHash: 200000 & 0.9,1620344,0.9,20000,200000,200000,TwoHash,199.33707098000124,-3.7578125,86.69921875,0,0.017816543579101562,127.99609375,1000.3046875,-3.9091796875,53.13102722167969
TwoHashIndexedCount: 200000 & 0.9,1620344,0.9,20000,200000,200000,TwoHashIndexedCount,203.8906890369989,-0.40625,95.43359375,0,0.017816543579101562,247.24609375,961.828125,4.586448669433594,81.64228057861328
TwoHash: 200000 & 0.9,323309,0.9,100000,200000,200000,TwoHash,203.26977856199815,41.42578125,147.94921875,0,0.017816543579101562,-39.921875,868.8125,47.58814239501953,121.16216278076172
TwoHashIndexedCount: 200000 & 0.9,540450,0.9,60000,200000,200000,TwoHashIndexedCount,206.18097853200138,31.0625,140.13671875,0,0.017816543579101562,-67.35546875,743.609375,34.77452087402344,110.86148071289062
TwoHashIndexedCount: 200000 & 0.9,323309,0.9,100000,200000,200000,TwoHashIndexedCount,208.99767977200077,42.578125,154.30078125,0,0.017816543579101562,-328.69140625,639.06640625,26.757774353027344,118.98888397216797
TwoHashIndexedCount: 200000 & 0.9,230745,0.9,140000,200000,200000,TwoHashIndexedCount,213.7111283180006,65.44140625,180.73046875,0,0.017816543579101562,-434.34765625,561.10546875,69.05626678466797,150.38362884521484
TwoHash: 200000 & 0.9,180069,0.9,180000,200000,200000,TwoHash,186.46977695300058,60.9765625,177.76171875,0,0.017816543579101562,-644.3671875,385.81640625,67.94973754882812,153.74461364746094
TwoHashIndexedCount: 200000 & 0.9,180069,0.9,180000,200000,200000,TwoHashIndexedCount,74.23924079199881,87.109375,193.69921875,0,0.017816543579101562,-804.4609375,276.4140625,69.9908676147461,150.09949493408203
